Date,Open,High,Low,Close,Adj Close,Volume
2015-01-21,183.307693,185.230774,182.384613,184.923080,161.069901,4890639
2015-01-22,186.923080,187.384613,184.307693,186.769226,162.677933,6126809
2015-01-23,187.923080,191.461533,186.846161,188.307693,164.017929,8286031
2015-01-26,190.153839,190.307693,187.692307,189.153839,164.754974,5092737
2015-01-27,187.615387,188.153839,186.153839,187.538467,163.347916,4991753
2015-01-28,188.230774,188.384613,183.153839,183.384613,159.729889,6454994
2015-01-29,183.384613,186.153839,182.923080,185.230774,161.337936,5256732
2015-01-30,183.692307,185.461533,183.230774,183.769226,160.064911,7112586
2015-02-02,184.615387,186.307693,183.846161,186.230774,162.208954,5148325
2015-02-03,186.846161,188.692307,186.615387,188.230774,163.950928,4904094
2015-02-04,187.769226,187.923080,185.230774,185.846161,161.873901,4320680
2015-02-05,186.538467,188.461533,186.461533,188.461533,164.151917,3334162
2015-02-06,188.769226,190.384613,188.230774,188.615387,164.285950,3571360
2015-02-09,188.230774,190.384613,188.076920,189.538467,165.089966,3546920
2015-02-10,190.538467,190.769226,188.846161,190.153839,165.625931,3519854
2015-02-11,190.076920,190.923080,189.230774,190.538467,165.960968,3179189
2015-02-12,190.846161,192.230774,190.076920,191.461533,166.764954,3447899
2015-02-13,192.230774,193.615387,191.846161,193.461533,168.506989,4299906
2015-02-17,193.230774,193.923080,192.153839,193.615387,168.640976,4678635
2015-02-18,194.538467,194.538467,193.461533,194.230774,169.177002,3996304
2015-02-19,192.538467,193.923080,191.923080,192.384613,169.109390,4320277
2015-02-20,191.384613,194.000000,190.769226,193.923080,170.461731,5185674
2015-02-23,194.000000,194.615387,193.076920,193.615387,170.191238,4000685
2015-02-24,193.230774,195.769226,193.000000,195.307693,171.678818,5520333
2015-02-25,195.769226,200.461533,195.692307,199.307693,175.194855,8868548
2015-02-26,199.538467,200.076920,198.538467,199.153839,175.059677,4972136
2015-02-27,198.692307,202.076920,198.076920,199.923080,175.735870,6699134
2015-03-02,199.076920,200.923080,198.846161,200.846161,176.547241,4213170
2015-03-03,200.384613,200.615387,198.307693,198.923080,174.856781,3970499
2015-03-04,198.153839,198.230774,195.923080,197.384613,173.504486,4100694
2015-03-05,197.076920,198.615387,196.769226,198.615387,174.586349,3688594
2015-03-06,197.769226,198.307693,194.846161,195.538467,171.881653,4197284
2015-03-09,196.307693,197.692307,196.076920,197.230774,173.369278,4106843
2015-03-10,196.153839,197.230774,193.615387,193.615387,170.191238,4867473
2015-03-11,194.461533,196.076920,193.384613,193.769226,170.326477,4705753
2015-03-12,194.384613,195.461533,193.615387,195.384613,171.746414,3818035
2015-03-13,194.461533,195.076920,190.846161,192.615387,169.312241,5889910
2015-03-16,192.769226,196.000000,192.000000,195.769226,172.084503,4499352
2015-03-17,194.615387,195.307693,193.000000,194.692307,171.137924,4453670
2015-03-18,193.692307,198.846161,193.153839,197.230774,173.369278,4979364
2015-03-19,195.692307,197.000000,194.307693,194.846161,171.273117,4980924
2015-03-20,194.923080,196.384613,194.615387,195.384613,171.746414,6582238
2015-03-23,196.000000,198.000000,195.769226,195.923080,172.219803,4157985
2015-03-24,195.230774,196.000000,194.384613,194.384613,170.867432,3354169
2015-03-25,194.076920,194.846161,191.615387,191.615387,168.433258,4536662
2015-03-26,190.769226,191.692307,189.769226,190.769226,167.689423,4225572
2015-03-27,191.692307,191.692307,190.076920,191.230774,168.095139,3681678
2015-03-30,192.153839,193.846161,192.076920,193.230774,169.853226,3546582
2015-03-31,193.000000,193.000000,190.846161,190.846161,167.757080,4542317
2015-04-01,190.153839,191.692307,189.000000,191.076920,167.959930,5037435
2015-04-02,190.846161,192.307693,190.000000,191.846161,168.636093,3797703
2015-04-06,191.538467,195.461533,190.692307,193.692307,170.258881,4347863
2015-04-07,193.615387,194.461533,192.307693,192.461533,169.176987,2764008
2015-04-08,192.692307,193.230774,191.307693,192.384613,169.109390,2917096
2015-04-09,193.000000,198.692307,191.692307,197.923080,173.977814,7819487
2015-04-10,208.692307,220.615387,207.692307,219.307693,192.775284,45851247
2015-04-13,215.846161,216.846161,211.538467,212.538467,186.825027,20018037
2015-04-14,211.384613,214.153839,210.615387,213.307693,187.501144,7251036
2015-04-15,213.000000,214.230774,211.000000,211.230774,185.675507,7334613
2015-04-16,210.076920,211.538467,209.076920,209.846161,184.458405,8107203
2015-04-17,210.769226,213.076920,207.076920,209.615387,184.255554,11413285
2015-04-20,210.153839,211.076920,207.769226,207.846161,182.700394,8019310
2015-04-21,207.923080,208.153839,204.230774,204.769226,179.995682,9993399
2015-04-22,205.384613,207.846161,204.615387,207.000000,181.956558,6117293
2015-04-23,206.000000,208.230774,205.461533,206.538467,181.550888,4961554
2015-04-24,206.769226,207.230774,205.384613,206.153839,181.212799,3602820
2015-04-27,207.384613,207.692307,206.230774,206.769226,181.753693,4708301
2015-04-28,207.307693,208.923080,204.923080,208.615387,183.376572,4995458
2015-04-29,207.307693,209.615387,206.923080,208.384613,183.173660,4830020
2015-04-30,208.153839,210.384613,207.461533,208.307693,183.106018,5588050
2015-05-01,208.384613,210.153839,207.615387,210.076920,184.661240,3679429
2015-05-04,210.461533,212.384613,209.615387,209.769226,184.390778,3406221
2015-05-05,209.615387,210.461533,206.538467,207.076920,182.024200,3945149
2015-05-06,207.692307,209.076920,204.692307,206.230774,181.280380,3608930
2015-05-07,206.000000,208.615387,205.076920,208.000000,182.835587,4034966
2015-05-08,209.615387,211.461533,209.384613,210.461533,184.999313,4838795
2015-05-11,209.615387,210.000000,206.615387,207.076920,182.024200,4218942
2015-05-12,206.307693,208.384613,205.769226,207.923080,182.767944,3872674
2015-05-13,207.846161,209.538467,207.076920,209.307693,183.985077,4832152
2015-05-14,210.153839,211.000000,208.846161,210.846161,185.337387,3506893
2015-05-15,210.615387,211.076920,209.615387,209.769226,184.390778,4649931
2015-05-18,209.307693,210.692307,209.307693,210.076920,184.661240,2923635
2015-05-19,209.769226,210.692307,209.307693,210.384613,184.931747,3789604
2015-05-20,210.307693,213.076920,209.230774,212.615387,186.892593,5222568
2015-05-21,212.923080,213.769226,211.923080,213.230774,187.433502,5240443
2015-05-22,213.000000,213.692307,212.461533,212.923080,187.163055,3027609
2015-05-26,211.692307,212.153839,210.615387,211.692307,186.081161,6170476
2015-05-27,212.076920,212.461533,211.230774,211.692307,186.081161,3292484
